Model,Accuracy(thr=best_thr),F1(thr=best_thr),ROC_AUC
XGB,0.8817027281279398,0.8605489326309953,0.951830522796576
LGB,0.8831138287864534,0.8619060850236177,0.9515639351188508
CAT,0.8727657572906867,0.8506762351642285,0.9504176769903376
GBDT,0.8809971777986829,0.8581043185642176,0.9441370228516844
RF,0.8544214487300094,0.8355909694555113,0.9384354678717072
DT,0.8139698965192851,0.784056784056784,0.8936439160145486
LR,0.7241298212605832,0.719310839913855,0.8330335657077778
SVM,0.6516933207902164,0.6889308968704054,0.8288656361365223
MLP,0.6373471307619943,0.6500226963231956,0.7304698693927036
NB,0.4962370649106303,0.6061051857300478,0.6719047356625887
